location,interval,priority
16041,420,high
16049,420,high
16051,420,high
16059,420,high
16061,420,high
16069,420,high
16071,420,high
16079,420,high
16081,420,high
16089,420,high
16091,420,high
16099,420,high
16101,600,low
16109,600,low
16111,600,low
16119,600,low
16121,600,low
16131,420,high
16139,600,low
16141,420,high
16149,420,high
16151,420,high
16159,420,high
16161,600,low
16169,420,high
16171,600,low
16179,420,high
16181,600,low
16189,420,high
16191,600,low
16199,420,high
16201,420,high
16209,420,high
16211,600,low
16219,600,low
16221,600,low
16229,600,low
16231,600,low
16239,600,low
16241,600,low
16249,600,low
16891,600,low
16991,600,low
17009,420,high
17011,420,high
17019,420,high
17021,420,high
17029,420,high
17031,420,high
17039,420,high
17041,420,high
17049,420,high
17051,420,high
17059,420,high
17061,420,high
17069,420,high
17071,420,high
17079,420,high
17081,600,low
17089,600,low
17091,420,high
17099,420,high
17101,420,high
17109,420,high
17111,420,high
17119,420,high
17121,420,high
17129,420,high
17131,420,high
17139,420,high
17141,420,high
17149,420,high
17151,420,high
17159,420,high
17161,420,high
17169,420,high
17171,420,high
17179,420,high
17181,420,high
17189,420,high
17191,420,high
17201,600,low
17211,600,low
17219,600,low
17221,420,high
17229,420,high
17239,420,high
17241,420,high
17249,600,low
17251,420,high
17259,420,high
17269,600,low
17279,600,low
17289,600,low
17291,600,low
17299,600,low
17301,600,low
17309,600,low
17311,600,low
17319,600,low
17321,600,low
17329,600,low
17331,600,low
17339,600,low
17351,600,low
17359,600,low
17361,600,low
17369,600,low
17371,600,low
17379,600,low
17381,420,high
17389,420,high
18011,420,high
18019,420,high
18021,600,low
18029,600,low
18041,420,high
18049,420,high
18051,600,low
18059,600,low
18061,600,low
18069,600,low
18071,420,high
18079,420,high
18081,600,low
18089,600,low
18099,600,low
18101,420,high
18109,420,high
18111,420,high
18119,420,high
18121,420,high
18129,420,high
18131,420,high
18141,420,high
18149,420,high
18151,600,low
18159,600,low
18171,600,low
18179,600,low
18181,600,low
18189,600,low
18191,600,low
18199,600,low
18201,600,low
18211,600,low
18221,600,low
18239,600,low
18241,420,high
18249,600,low
18251,420,high
18261,420,high
18269,600,low
18271,420,high
18279,600,low
18281,420,high
18289,600,low
18301,600,low
18309,600,low
18311,600,low
18319,600,low
18321,600,low
18329,600,low
18331,600,low
18339,600,low
19011,420,high
19019,420,high
19021,420,high
19029,420,high
19031,420,high
19039,420,high
19041,420,high
19049,420,high
19051,420,high
19059,600,low
19061,420,high
19069,600,low
19071,420,high
19079,600,low
19081,420,high
19089,420,high
19091,600,low
19099,600,low
20011,420,high
20019,420,high
20021,420,high
20029,420,high
20031,420,high
20039,420,high
20051,420,high
20059,420,high
20061,420,high
20069,420,high
20081,420,high
20089,420,high
20101,420,high
20109,420,high
20121,420,high
20129,420,high
20131,420,high
20139,420,high
20141,420,high
20149,420,high
20151,600,low
20159,420,high
20161,420,high
20169,420,high
20171,420,high
20179,420,high
20181,420,high
20189,420,high
20191,420,high
20199,420,high
20201,420,high
20209,420,high
20211,420,high
20219,420,high
20231,420,high
20239,420,high
20241,600,low
20249,600,low
20251,420,high
20259,420,high
20261,420,high
20269,420,high
20271,420,high
20281,420,high
20289,420,high
20291,420,high
20299,420,high
20309,600,low
20319,600,low
20329,600,low
20331,600,low
20341,600,low
21011,420,high
21019,420,high
21021,420,high
21029,420,high
21041,420,high
21049,420,high
21051,600,low
21059,600,low
21069,600,low
21071,600,low
21079,420,high
21089,600,low
21099,600,low
21109,600,low
21111,600,low
21119,600,low
21121,600,low
21129,600,low
21131,600,low
21139,600,low
21141,420,high
21149,420,high
21151,420,high
21159,420,high
21161,420,high
21169,600,low
21171,420,high
21179,420,high
21181,420,high
21189,600,low
21191,600,low
21199,600,low
21201,600,low
21209,600,low
21211,420,high
21219,420,high
21229,420,high
21231,420,high
21239,420,high
21241,420,high
21249,600,low
21251,600,low
21259,420,high
21261,420,high
21269,600,low
21271,600,low
21279,600,low
21299,600,low
21309,600,low
21319,600,low
21329,600,low
21339,600,low
21349,600,low
21351,420,high
21359,420,high
21361,420,high
21369,420,high
21371,420,high
21379,420,high
21381,600,low
21389,600,low
21391,420,high
21399,420,high
21409,600,low
21411,600,low
21419,420,high
21421,420,high
21429,420,high
21431,420,high
21439,420,high
21441,420,high
21449,420,high
21451,420,high
21459,420,high
21461,600,low
21469,600,low
21471,600,low
