BusStopCode,interval,priority
23039,450,low
23041,300,high
23049,300,high
23051,300,high
23059,300,high
23061,300,high
23069,300,high
23071,300,high
23079,300,high
23081,450,low
23089,450,low
23091,450,low
23099,450,low
23101,450,low
23109,450,low
23111,450,low
23119,450,low
23121,450,low
23129,450,low
23131,450,low
23139,450,low
23141,450,low
23149,450,low
23151,450,low
23159,450,low
23161,450,low
23169,450,low
23171,450,low
23179,450,low
23181,450,low
23189,450,low
23221,450,low
23229,450,low
23231,450,low
23239,450,low
23371,300,high
23379,450,low
23481,450,low
23489,450,low
23491,450,low
23499,450,low
23501,450,low
23509,450,low
23519,300,high
24009,300,high
24011,450,low
24019,450,low
24021,450,low
24029,450,low
24041,450,low
24049,450,low
24129,450,low
24139,450,low
24149,450,low
24159,450,low
24331,450,low
24339,450,low
24489,450,low
24499,450,low
24501,450,low
24509,450,low
24511,450,low
24519,450,low
24521,450,low
24529,450,low
24571,450,low
24581,450,low
24599,450,low
24601,450,low
24609,450,low
24611,450,low
24619,450,low
24621,450,low
24629,450,low
24671,450,low
24679,450,low
24681,450,low
24689,450,low
24691,450,low
24699,450,low
24709,450,low
24711,450,low
24719,300,high
25009,300,high
25059,450,low
25061,450,low
25069,450,low
25071,450,low
25079,450,low
25091,450,low
25099,450,low
25101,450,low
25109,450,low
25111,450,low
25119,450,low
25121,450,low
25129,450,low
25151,450,low
25161,450,low
25169,450,low
25171,450,low
25179,450,low
25181,450,low
25189,450,low
25191,450,low
25199,450,low
25201,450,low
25209,450,low
25219,450,low
25221,450,low
25229,450,low
25231,450,low
25239,450,low
25249,450,low
25251,450,low
25259,450,low
25269,450,low
25321,450,low
25329,450,low
25331,450,low
25339,450,low
25341,450,low
25349,450,low
25351,450,low
25359,450,low
25361,450,low
25369,450,low
25371,450,low
25379,450,low
25381,450,low
25389,450,low
25391,450,low
25399,450,low
25411,450,low
25419,450,low
25421,300,high
25429,300,high
25431,300,high
25439,300,high
25441,300,high
25449,300,high
25451,300,high
25459,300,high
25461,300,high
25469,300,high
25511,450,low
25519,450,low
25681,300,high
25689,300,high
25691,300,high
25701,450,low
25709,450,low
25711,450,low
25719,450,low
25721,450,low
25729,450,low
25741,450,low
25751,450,low
25761,450,low
25771,450,low
25781,450,low
25791,450,low
25801,450,low
25811,450,low
25819,450,low
25821,450,low
26071,450,low
26079,450,low
26081,450,low
26089,450,low
26091,450,low
26099,450,low
26101,450,low
26109,450,low
26111,450,low
26121,450,low
26131,450,low
26141,450,low
26151,450,low
26161,450,low
26171,450,low
26201,300,high
26209,300,high
26211,450,low
26221,450,low
26241,450,low
26249,300,high
26251,450,low
26259,300,high
26261,450,low
26269,300,high
26279,450,low
26289,450,low
26299,450,low
26311,450,low
26321,450,low
26331,450,low
26349,450,low
26369,450,low
26379,450,low
26389,450,low
26399,450,low
26409,450,low
26419,450,low
26429,450,low
26431,450,low
26441,450,low
26451,450,low
26461,450,low
27011,450,low
27021,450,low
27031,450,low
27041,450,low
27051,450,low
27061,300,high
27069,450,low
27071,450,low
27091,300,high
27099,300,high
27101,300,high
27109,300,high
27121,300,high
27129,300,high
27131,300,high
27139,450,low
27141,300,high
27149,450,low
27159,450,low
27169,450,low
27171,450,low
27179,450,low
27181,450,low
27189,450,low
27199,450,low
27209,450,low
27211,300,high
27219,450,low
27221,300,high
27231,300,high
27241,300,high
27251,300,high
27261,300,high
27271,300,high
27279,300,high
27281,300,high
27291,300,high
27301,300,high
27309,300,high
27311,300,high
27321,450,low
27329,450,low
27331,450,low
27341,300,high
27349,300,high
27351,300,high
27359,450,low
27361,300,high
27369,300,high
27371,300,high
27379,300,high
27391,300,high
27399,300,high
27401,300,high
27409,300,high
27411,300,high
27419,300,high
27421,450,low
27429,300,high
27431,300,high
27439,300,high
27441,300,high
27449,300,high
27451,300,high
27459,300,high
27461,450,low
27469,300,high
27471,450,low
27479,450,low
27501,450,low
27509,450,low
27511,450,low
27519,450,low
27521,450,low
27529,450,low
27531,300,high
27539,450,low
28009,300,high
28011,300,high
28019,300,high
28021,300,high
28029,300,high
28031,300,high
28039,300,high
28041,300,high
28049,300,high
28051,300,high
28059,300,high
28061,300,high
28069,450,low
28071,300,high
28079,300,high
28081,300,high
28089,300,high
28091,300,high
28099,300,high
28101,300,high
28109,300,high
28181,300,high
28189,300,high
28199,450,low
28201,450,low
28211,300,high
28221,300,high
28229,300,high
28231,300,high
28239,300,high
28241,300,high
28249,300,high
28251,300,high
28259,300,high
28261,300,high
28269,300,high
28271,300,high
28279,300,high
28281,300,high
28289,300,high
28291,300,high
28299,300,high
28301,300,high
28309,450,low
28311,300,high
28319,300,high
28321,300,high
28329,300,high
28331,300,high
28339,300,high
28341,300,high
28349,300,high
28351,450,low
28359,300,high
28361,450,low
28369,300,high
28371,450,low
28379,300,high
28381,300,high
28389,300,high
28391,300,high
28399,300,high
28401,300,high
28409,300,high
28411,450,low
28421,450,low
28431,300,high
28439,300,high
28441,300,high
28449,300,high
28451,300,high
28459,300,high
28461,300,high
28469,300,high
28471,450,low
28481,450,low
28491,300,high
28499,300,high
28501,300,high
